whois_regDate,whois_expDate,number_of.,url_length,number_of_digits,number_of_special_charac,number_of-,number_of//,number_of/,number_of@,HTTP_check,number_of_protocols,number_of_subdomains,IP_in_url,number_of_.com,Port_in_URL,number_of_www,short_URL
7055,614,2,28,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8414,351,3,25,0,0,0,1,3,0,0,1,0,0,0,0,1,0
6617,322,1,27,0,0,0,1,3,0,0,1,0,0,1,0,0,0
9351,103,2,35,1,2,0,1,4,0,0,1,0,0,1,0,1,0
10871,85,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
5506,337,1,26,0,0,0,1,3,0,0,1,0,0,1,0,0,0
10499,457,2,22,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9113,383,3,25,0,0,0,1,3,0,0,1,0,0,0,0,1,0
7146,158,1,18,0,0,0,1,3,0,0,1,0,0,1,0,0,0
9904,1769,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10961,360,2,30,0,0,0,1,3,0,0,1,0,0,1,0,1,0
4428,1780,2,29,0,0,0,1,3,0,0,1,0,0,1,0,1,0
5291,187,2,27,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8735,760,2,31,0,0,0,1,3,0,0,1,1,0,1,0,0,0
4882,1227,1,23,0,0,0,1,3,0,0,1,0,0,1,0,0,0
9430,66,3,23,0,0,0,1,3,0,0,1,0,0,0,0,1,0
9538,322,2,22,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8007,758,2,27,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10204,1438,4,43,0,0,0,1,4,0,0,1,0,0,0,0,1,0
8003,397,2,26,0,0,0,1,3,0,0,1,0,0,1,0,1,0
11084,239,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,1
9332,529,2,22,0,0,0,1,3,0,0,1,0,0,1,0,1,0
2740,181,3,116,1,9,2,1,4,0,0,1,0,0,1,0,1,0
6652,2113,2,75,22,6,4,1,3,0,0,1,1,0,1,0,0,0
4750,2554,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7750,289,3,26,0,0,0,1,3,0,0,1,0,0,1,0,1,0
4348,399,1,20,0,0,0,1,3,0,0,1,0,0,0,0,0,0
7622,102,2,22,0,0,0,1,3,0,0,1,0,0,0,0,1,0
8841,2951,2,27,0,0,0,1,3,0,0,1,0,0,1,0,1,1
6234,1907,2,37,1,2,0,1,3,0,0,1,0,0,1,0,1,0
7466,204,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,1
6118,91,2,32,0,1,0,1,3,0,0,1,1,0,1,0,0,0
10729,76,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,1
